Collection Name,Test Title,Section Name,Subject,Topic,Q Type,Difficulty,Question Content,Opt 1,Opt 2,Opt 3,Opt 4,Correct Opt (1-4),Marks,Neg Marks
Banking Elite 2026,SBI PO Prelims Mock 1,Quantitative Aptitude,Math,Simplification,SINGLE_CHOICE,EASY,"What is the value of 45% of 800 + 25% of 400?",420,440,460,480,3,1,0.25
Banking Elite 2026,SBI PO Prelims Mock 1,Quantitative Aptitude,Math,Simplification,SINGLE_CHOICE,EASY,"Find the value: (15 * 12) + (18 * 5) - 100",150,160,170,180,3,1,0.25
Banking Elite 2026,SBI PO Prelims Mock 1,Quantitative Aptitude,Math,Number Series,SINGLE_CHOICE,MEDIUM,"Find the missing term: 5, 11, 24, 51, 106, ?",215,217,219,221,2,1,0.25
Banking Elite 2026,SBI PO Prelims Mock 1,Quantitative Aptitude,Math,Number Series,SINGLE_CHOICE,HARD,"Find the missing term: 8, 9, 20, 63, 256, ?",1285,1280,1290,1300,1,1,0.25
Banking Elite 2026,SBI PO Prelims Mock 1,Quantitative Aptitude,Math,Quadratic Equations,SINGLE_CHOICE,MEDIUM,"<b>I.</b> x² - 5x + 6 = 0 <br> <b>II.</b> y² - 7y + 12 = 0",x > y,x < y,x = y or no relation,x <= y,4,1,0.25
Banking Elite 2026,SBI PO Prelims Mock 1,Quantitative Aptitude,Math,Quadratic Equations,SINGLE_CHOICE,MEDIUM,"<b>I.</b> 2x² - 7x + 6 = 0 <br> <b>II.</b> 3y² - 14y + 8 = 0",x > y,x < y,x = y or no relation,x >= y,3,1,0.25
Banking Elite 2026,SBI PO Prelims Mock 1,Quantitative Aptitude,Math,Time and Work,SINGLE_CHOICE,HARD,"A, B, and C can complete a work in 10, 12, and 15 days respectively. If they work together, how many days will it take?",4 days,5 days,6 days,8 days,1,1,0.25
Banking Elite 2026,SBI PO Prelims Mock 1,Quantitative Aptitude,Math,Profit and Loss,SINGLE_CHOICE,MEDIUM,"A shopkeeper marks his goods 20% above CP and gives 10% discount. Find his profit %.",8%,10%,12%,15%,1,1,0.25
Banking Elite 2026,SBI PO Prelims Mock 1,Quantitative Aptitude,Math,Simple Interest,SINGLE_CHOICE,EASY,"What is the SI on Rs 8000 at 5% per annum for 3 years?",Rs 1000,Rs 1200,Rs 1500,Rs 1800,2,1,0.25
Banking Elite 2026,SBI PO Prelims Mock 1,Quantitative Aptitude,Math,Mixture & Allegation,SINGLE_CHOICE,HARD,"A vessel contains 60L milk and water in ratio 3:1. How much water must be added to make it 2:1?",5L,7.5L,10L,15L,2,1,0.25
